Werte,Alter,2000,2010,2020,2030,2040,2050
Hauptszenario,bis 4 Jahre,419493,392648,432731,441439,428210,433272
Hauptszenario,5 bis 9 Jahre,475213,405729,422288,451543,440027,435569
Hauptszenario,10 bis 14 Jahre,470760,440904,421472,453094,457931,444988
Hauptszenario,15 bis 19 Jahre,485249,497787,442357,455280,479433,467813
Hauptszenario,20 bis 24 Jahre,469486,520508,526381,496503,517494,519914
Hauptszenario,25 bis 29 Jahre,557576,555593,608892,543412,542308,557232
Hauptszenario,30 bis 34 Jahre,682880,526692,610965,589218,555515,568022
Hauptszenario,35 bis 39 Jahre,698645,589897,607703,626096,566366,564110
Hauptszenario,40 bis 44 Jahre,608812,695259,569849,620577,595798,567400
Hauptszenario,45 bis 49 Jahre,512752,700944,616062,619433,629829,578143
Hauptszenario,50 bis 54 Jahre,492325,601907,699589,577895,619708,598574
Hauptszenario,55 bis 59 Jahre,486976,495485,684024,602964,604788,616176
Hauptszenario,60 bis 64 Jahre,415559,460114,571750,657205,550356,591383
Hauptszenario,65 bis 69 Jahre,339695,442462,457497,625744,559152,566022
Hauptszenario,70 bis 74 Jahre,328442,363558,408687,513360,596524,509063
Hauptszenario,75 bis 79 Jahre,288938,267243,363322,391353,546375,500290
Hauptszenario,80 bis 84 Jahre,134139,217345,263296,311536,409191,493296
Hauptszenario,85 bis 89 Jahre,102097,138884,144476,214353,254241,379434
Hauptszenario,90 bis 94 Jahre,35690,36579,68812,98922,129532,188864
Hauptszenario,95 Jahre und älter,6839,11531,19089,23690,39197,54728
Wanderungsvariante,bis 4 Jahre,419493,392648,437578,455556,442740,447857
Wanderungsvariante,5 bis 9 Jahre,475213,405729,424972,463175,455307,450134
Wanderungsvariante,10 bis 14 Jahre,470760,440904,423752,461842,473285,460749
Wanderungsvariante,15 bis 19 Jahre,485249,497787,445555,462675,493624,485654
Wanderungsvariante,20 bis 24 Jahre,469486,520508,535370,508980,532221,540502
Wanderungsvariante,25 bis 29 Jahre,557576,555593,620098,562584,557633,576925
Wanderungsvariante,30 bis 34 Jahre,682880,526692,619657,611278,572501,585583
Wanderungsvariante,35 bis 39 Jahre,698645,589897,614076,645924,585816,579956
Wanderungsvariante,40 bis 44 Jahre,608812,695259,574846,636405,616976,584248
Wanderungsvariante,45 bis 49 Jahre,512752,700944,619930,631976,649478,597637
Wanderungsvariante,50 bis 54 Jahre,492325,601907,702300,587777,635713,619160
Wanderungsvariante,55 bis 59 Jahre,486976,495485,685845,610068,616965,634177
Wanderungsvariante,60 bis 64 Jahre,415559,460114,573001,661731,559360,605051
Wanderungsvariante,65 bis 69 Jahre,339695,442462,458368,628680,565130,575870
Wanderungsvariante,70 bis 74 Jahre,328442,363558,409196,515368,600079,516458
Wanderungsvariante,75 bis 79 Jahre,288938,267243,363573,392594,548460,504856
Wanderungsvariante,80 bis 84 Jahre,134139,217345,263437,312136,410454,495417
Wanderungsvariante,85 bis 89 Jahre,102097,138884,144547,214606,254866,380331
Wanderungsvariante,90 bis 94 Jahre,35690,36579,68832,98987,129650,189106
Wanderungsvariante,95 Jahre und älter,6839,11531,19094,23689,39158,54660
KeineWanderungen,bis 4 Jahre,419493,392648,400349,355826,310444,298010
KeineWanderungen,5 bis 9 Jahre,475213,405729,405200,383673,328034,302347
KeineWanderungen,10 bis 14 Jahre,470760,440904,403820,400092,355681,310359
KeineWanderungen,15 bis 19 Jahre,485249,497787,414168,404838,383429,327873
KeineWanderungen,20 bis 24 Jahre,469486,520508,453016,402920,399440,355247
KeineWanderungen,25 bis 29 Jahre,557576,555593,540661,412789,403827,382709
KeineWanderungen,30 bis 34 Jahre,682880,526692,568232,451502,401901,398664
KeineWanderungen,35 bis 39 Jahre,698645,589897,583175,538625,411617,402945
KeineWanderungen,40 bis 44 Jahre,608812,695259,544849,565225,449680,400660
KeineWanderungen,45 bis 49 Jahre,512752,700944,597096,578101,534984,409493
KeineWanderungen,50 bis 54 Jahre,492325,601907,691931,536536,558352,445399
KeineWanderungen,55 bis 59 Jahre,486976,495485,683727,581695,566119,526084
KeineWanderungen,60 bis 64 Jahre,415559,460114,573516,663322,518675,543327
KeineWanderungen,65 bis 69 Jahre,339695,442462,457641,641096,552303,542954
KeineWanderungen,70 bis 74 Jahre,328442,363558,408811,522515,615090,488198
KeineWanderungen,75 bis 79 Jahre,288938,267243,364809,395348,569625,501962
KeineWanderungen,80 bis 84 Jahre,134139,217345,264307,315531,423199,517402
KeineWanderungen,85 bis 89 Jahre,102097,138884,144844,217956,260455,401945
KeineWanderungen,90 bis 94 Jahre,35690,36579,69374,101007,133840,199392
KeineWanderungen,95 Jahre und älter,6839,11531,19430,24631,41632,58599
